"Country","location_name","lockdown_start","lockdown_end","Level","url","update","Confirmed"
"China","Jingmen",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"Luxembourg",NA,2020-03-18,NA,"National","https://www.15min.lt/naujiena/aktualu/lietuva/vyriausybeje-susauktas-pasitarimas-del-koronaviruso-skelbs-tolimesniu-veiksmu-plana-56-1289458",2020-03-24,FALSE
"Guernsey",NA,2020-03-25,NA,"National","https://www.bbc.co.uk/news/live/world-europe-guernsey-51999470?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e7a5199276ca90663acc23d%26%27Strict%27%20lockdown%20measures%20from%20midnight%262020-03-24T19%3A00%3A54.329Z&ns_fee=0&pinned_post_locator=urn:asset:b2bb241b-8081-4dda-906a-73efd8e36889&pinned_post_asset_id=5e7a5199276ca90663acc23d&pinned_post_type=share",2020-03-24,FALSE
"China","Tianmen",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Ezhou",2020-01-23,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Xiantao",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Yichang",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Xianning",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"Chile",NA,2020-03-19,NA,"National","https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632",2020-03-24,FALSE
"China","Huanggang",2020-01-23,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Suizhou",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"China","Xiaogan",2020-01-24,2020-03-25,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-03-24,TRUE
"Oman","Muscat",2020-04-10,2020-05-08,"Governorate","https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter",2020-03-25,FALSE
"Qatar","Doha Industrial Area",2020-03-11,NA,"Industrial park","https://www.theportugalnews.com/news/state-of-emergency-explained/53448",2020-03-25,FALSE
"Philippines","Luzon",2020-03-15,2020-04-30,"Island group","https://www.rappler.com/nation/255097-davao-region-coronavirus-lockdown-begins",2020-03-25,FALSE
"Indonesia","Tegal",2020-03-26,2020-07-31,"City","https://jateng.suara.com/read/2020/03/26/142841/pertama-di-indonesia-walikota-umumkan-tegal-lockdown",2020-03-26,FALSE
"Finland","Uusimaa",2020-03-27,2020-04-16,"Region","https://yle.fi/uutiset/osasto/news/finland_shuts_down_uusimaa_to_fight_coronavirus/11276242",2020-03-27,FALSE
"Philippines","Cebu",2020-03-27,2020-05-15,"Province","https://gestion.pe/peru/politica/coronavirus-en-peru-gobierno-anuncia-cuarentena-obligatorio-por-15-dias-por-coronavirus-noticia/",2020-03-27,FALSE
"Algeria","Algiers",2020-03-23,2020-04-19,"City","https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7",2020-03-30,FALSE
"Algeria","Blida",2020-03-23,2020-04-19,"City","https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7",2020-03-30,FALSE
"Ghana","Kumasi",2020-03-30,2020-04-12,"Metropolitan Area","https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/",2020-03-30,FALSE
"Ghana","Accra",2020-03-30,2020-04-12,"Metropolitan Area","https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/",2020-03-30,FALSE
"Saudi Arabia","Medina",2020-03-26,NA,"City","https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus",2020-03-30,FALSE
"Saudi Arabia","Riyadh",2020-03-26,NA,"City","https://www.aljazeera.com/news/2020/03/saudi-locks-qatif-coronavirus-surges-gulf-200308142809697.html",2020-03-30,FALSE
"Malaysia",NA,2020-03-18,2020-05-12,"National","https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323",2020-03-30,FALSE
"Liberia","Montserrado",2020-03-23,2020-04-11,"County","https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/",2020-03-30,FALSE
"Saudi Arabia","Mecca",2020-03-26,NA,"City","https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus",2020-03-30,FALSE
"Madagascar","Toamasina",2020-03-23,NA,"City","https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323",2020-03-30,FALSE
"Saudi Arabia","Qatif",2020-03-09,NA,"Area","https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus",2020-03-30,FALSE
"Philippines","Davao Region",2020-03-19,2020-04-30,"Region","https://www.cnnphilippines.com/regional/2020/3/26/Cebu-Province-enhanced-community-quarantine.html",2020-03-31,FALSE
"Israel","Bnei Brak",2020-04-02,NA,"City","https://www.timesofisrael.com/liveblog-april-2-2020/",2020-04-02,FALSE
"Romania",NA,2020-03-25,2020-05-12,"National","https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison",2020-04-03,FALSE
"Republic of the Congo",NA,2020-03-31,2020-04-20,"National","https://www.msn.com/en-xl/news/other/covid-19-lagos-brazzaville-lockdown-begins/ar-BB11ZAhn",2020-04-03,FALSE
"Senegal",NA,2020-03-30,NA,"National","https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/",2020-04-04,FALSE
"Sierra Leone",NA,2020-04-04,2020-04-10,"National","http://www.rfi.fr/en/international/20200406-sierra-leone-begins-72-hour-lockdown-after-6th-coronavirus-case-reported-covid-19",2020-04-04,FALSE
"Bulgaria",NA,2020-03-13,2020-05-13,"National","https://www.segabg.com/hot/category-bulgaria/gerb-udulzhi-izvunrednoto-polozhenie-podkrepata-na-dps",2020-04-04,FALSE
"United States","Oregon",2020-03-23,NA,"State","https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html",2020-04-04,FALSE
"Mexico",NA,2020-03-21,2020-04-30,"National","https://mx.usembassy.gov/covid-19-information/",2020-04-04,FALSE
"Eritrea",NA,2020-04-02,2020-04-23,"National","http://www.xinhuanet.com/english/2020-04/02/c_138941459.htm",2020-04-04,FALSE
"Albania",NA,2020-03-13,NA,"National","https://www.reuters.com/article/us-health-coronavirus-albania/albania-extends-lockdown-till-end-of-coronavirus-outbreak-idUSKBN21J6AZ/",2020-04-04,FALSE
"Japan","Chiba",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Japan","Osaka",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Japan","Kanagawa",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Singapore",NA,2020-04-07,2020-06-01,"National","https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137",2020-04-08,FALSE
"Japan","Hyogo",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Oman","Jalan Bani Bu Ali",2020-04-16,NA,"Province","https://www.omanobserver.om/lockdown/",2020-04-08,FALSE
"Japan","Saitama",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Japan","Fukuoka",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Japan","Tokyo",2020-04-07,2020-05-06,"Prefecture","https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency",2020-04-08,FALSE
"Madagascar","Antananarivo",2020-03-23,NA,"City","https://www.themayor.eu/en/shops-and-restaurants-in-luxembourg-city-wont-pay-rent-during-lockdown",2020-04-10,FALSE
"Honduras","Central District",2020-03-16,NA,"Municipality","https://covid19honduras.org/?q=toque-de-queda",2020-04-10,FALSE
"Honduras","Choluteca",2020-03-16,NA,"Municipality","https://covid19honduras.org/?q=toque-de-queda",2020-04-10,FALSE
"Honduras","San Pedro Sula",2020-03-17,NA,"Municipality","https://covid19honduras.org/?q=honduras-tiene-9-casos-confirmados-de-coronavirus",2020-04-10,FALSE
"Honduras","Rest of area",2020-03-20,2020-04-26,"National","https://covid19honduras.org/?q=toque-de-queda-absoluto-para-todo-el-pais",2020-04-10,FALSE
"Honduras","La Ceiba",2020-03-16,NA,"Municipality","https://covid19honduras.org/?q=toque-de-queda",2020-04-10,FALSE
"Turkey","Turkey(second implementation)",2020-04-23,2020-04-27,"National","https://www.yahoo.com/news/turkey-imposes-48-hour-coronavirus-120902289.html",2020-04-13,FALSE
"Armenia",NA,2020-03-24,2020-05-11,"National","https://uk.reuters.com/article/uk-health-coronavirus-armenia/armenia-extends-state-of-emergency-to-stem-coronavirus-outbreak-idUKKCN21T0FL?fbclid=IwAR0yCUOiRj2J7LbJypkVJN_P_n4epRVHV9n9EBwdpvgdysjo7gKvH265wdU",2020-04-14,FALSE
"Austria",NA,2020-03-16,2020-04-14,"National","https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html",2020-04-14,TRUE
"Norway",NA,2020-03-12,2020-04-27,"National","https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html",2020-04-14,TRUE
"Czech Republic",NA,2020-03-16,2020-04-17,"National","https://www.politico.eu/article/czech-republic-eases-lockdown-restrictions/",2020-04-14,TRUE
"Finland",NA,2020-03-27,2020-05-13,"National","https://uk.reuters.com/article/uk-health-coronavirus-finland/finland-to-lift-capital-region-lockdown-pm-idUKKCN21X0R6",2020-04-17,FALSE
"Fiji","Suva",2020-03-20,2020-04-17,"National","https://www.fijivillage.com/news/Suva-lockdown-to-be-lifted-at-5am-tomorrow-while-schools-remain-closed-until-the-15th-of-June-x8f54r/",2020-04-17,TRUE
"Australia",NA,2020-03-23,2020-05-14,"National","https://www.dailymail.co.uk/news/article-8224271/Scott-Morrison-issues-bleak-warning-Australias-economic-future.html",2020-04-17,FALSE
"Indonesia",NA,2020-04-15,NA,"National","https://www.bloomberg.com/news/articles/2020-04-15/indonesia-set-to-bring-34-million-people-under-partial-lockdown",2020-04-17,FALSE
"Mauritius",NA,2020-03-24,2020-05-04,"National","https://www.garda.com/crisis24/news-alerts/331811/mauritius-nationwide-lockdown-extended-to-may-4-update-4",2020-04-17,FALSE
"Venezuela",NA,2020-03-17,2020-05-13,"National","https://edition.cnn.com/world/live-news/coronavirus-pandemic-04-12-20/h_7a5886304dcbb7a4ce7bef735e32d362",2020-04-17,FALSE
"United States","California",2020-03-19,NA,"State","https://www.theguardian.com/world/2020/mar/23/boris-johnson-orders-uk-lockdown-to-be-enforced-by-police",2020-04-19,FALSE
"Madagascar",NA,2020-03-23,2020-04-20,"National","https://medicalxpress.com/news/2020-04-lockdown-madagascar-cities-ease.html",2020-04-20,TRUE
"Estonia",NA,2020-03-12,2020-05-01,"National","https://www.valitsus.ee/en/emergency-situation-estonia",2020-04-20,FALSE
"Iran",NA,2020-03-24,NA,"National","https://www.rferl.org/a/covid-19-iran-tehran-reopen-afghanistan-russia-azerbaijan/30562733.html",2020-04-20,FALSE
"Slovakia",NA,2020-03-16,NA,"National","http://www.uvzsr.sk/index.php?option=com_content&view=article&id=4099:opatrenie-uvz-sr-ktorym-sa-s-uinnosou-od-16-032020-uzatvaraju-vetky-maloobchodne-prevadzky-a-vetky-prevadzky-poskytujuce-sluby-okrem-prevadzok-uvedenych-v-opatreni-a-nariadeni-izolacie-skupin-osob&catid=250:koronavirus-2019-ncov&Itemid=153",2020-04-20,FALSE
"Denmark",NA,2020-03-13,2020-05-10,"National","https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain",2020-04-20,TRUE
"Italy",NA,2020-03-09,2020-05-04,"National","https://www.theguardian.com/world/2020/apr/14/eu-countries-coronavirus-lockdown-italy-spain",2020-04-20,TRUE
"Zimbabwe",NA,2020-03-30,2020-05-04,"National","https://www.aa.com.tr/en/africa/zimbabwe-extends-covid-19-lockdown-for-another-14-days/1811002",2020-04-20,FALSE
"Morocco",NA,2020-03-19,2020-05-20,"National","https://www.middleeastmonitor.com/20200419-moroccos-government-extends-coronavirus-lockdown-to-may-20/",2020-04-20,FALSE
"Ghana",NA,2020-03-30,2020-04-20,"National","https://www.aa.com.tr/en/africa/ghana-lifts-partial-coronavirus-lockdown/1811306",2020-04-20,TRUE
"Belarus","Minsk",2020-04-07,NA,"City","https://www.washingtonpost.com/politics/2020/04/21/belarus-government-is-largely-ignoring-pandemic-heres-why/",2020-04-21,FALSE
"Jordan",NA,2020-03-18,NA,"National",NA,2020-04-23,FALSE
"China","Qianjiang",2020-01-24,2020-03-13,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-04-23,TRUE
"Jamaica",NA,2020-04-15,2020-05-06,"National","https://www.worldnomads.com/travel-safety/worldwide/worldwide-travel-alerts",2020-04-23,FALSE
"New Zealand",NA,2020-03-26,2020-05-11,"National","https://www.worldnomads.com/travel-safety/worldwide/worldwide-travel-alerts",2020-04-23,FALSE
"Cuba",NA,2020-03-23,NA,"National","https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_7b694d17a78f2c02d7c76570e1726508",2020-04-23,FALSE
"Saudi Arabia","Jeddah",2020-03-29,NA,"City",NA,2020-04-23,FALSE
"Indonesia","Jakarta",2020-04-10,2020-05-22,"Province",NA,2020-04-23,FALSE
"Jamaica","Saint Catherine",2020-04-15,2020-04-22,"Parish","https://jis.gov.jm/st-catherine-covid-19-lockdown/",2020-04-23,FALSE
"China","Wuhan",2020-01-23,2020-04-08,"City","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown",2020-04-23,TRUE
"Trinidad and Tobago",NA,2020-03-17,NA,"National","https://www.nationnews.com/nationnews/news/244418/trinidad-lockdown",2020-04-23,FALSE
"Brazil","São Paulo",2020-03-17,NA,"City","https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml",2020-04-24,FALSE
"Georgia",NA,2020-03-31,2020-05-22,"National","https://www.worldnomads.com/travel-safety/worldwide/worldwide-travel-alerts",2020-04-24,FALSE
"Brazil","Santa Catarina",2020-03-17,NA,"City","https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml",2020-04-24,FALSE
"Switzerland",NA,2020-03-17,2020-05-11,"National","https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-78818.html",2020-04-27,TRUE
"Iraq",NA,2020-03-24,NA,"National","https://uk.reuters.com/article/uk-health-coronavirus-iraq-curfew/iraq-eases-some-lockdown-restrictions-ahead-of-ramadan-idUKKCN2231QX",2020-04-27,FALSE
"Libya",NA,2020-03-22,2020-05-08,"National","https://www.libyaobserver.ly/news/pc-extends-curfew-reduces-restricted-hours",2020-04-27,FALSE
"Paraguay",NA,2020-03-20,NA,"National","https://www.nytimes.com/reuters/2020/04/24/world/americas/24reuters-health-coronavirus-paraguay.html",2020-04-27,FALSE
"Lebanon",NA,2020-03-22,2020-05-10,"National","https://www.arabnews.com/node/1664421/middle-east",2020-04-27,FALSE
"Lithuania",NA,2020-03-16,2020-05-11,"National","https://www.garda.com/crisis24/news-alerts/335136/lithuania-government-to-begin-to-ease-covid-19-lockdown-measures-from-april-23-update-6",2020-04-27,FALSE
"Nepal",NA,2020-03-24,2020-05-07,"National","https://www.nepalitimes.com/latest/nepal-lockdown-to-be-extended/",2020-04-27,FALSE
"Netherlands",NA,2020-03-16,2020-05-19,"National","https://www.bloomberg.com/news/articles/2020-04-21/netherlands-seeks-to-reopen-schools-extends-lockdown-measures",2020-04-27,FALSE
"Gibraltar",NA,2020-03-22,2020-05-22,"National","https://www.theolivepress.es/spain-news/2020/04/23/gibraltar-lock-down-extended-to-may-22-as-active-cases-go-down-to-four/",2020-04-27,FALSE
"Slovenia",NA,2020-03-14,NA,"National","http://www.sloveniatimes.com/restrictions-remain-no-inter-municipal-movement-during-holidays",2020-04-27,FALSE
"Ukraine",NA,2020-03-17,2020-05-11,"National","https://www.ukrinform.net/rubric-society/3010673-ukraine-extends-coronavirus-lockdown-until-may-11.html",2020-04-27,FALSE
"Honduras",NA,2020-03-15,2020-05-03,"National","https://news.trust.org/item/20200426185211-dh38h/",2020-04-27,FALSE
"Ecuador",NA,2020-03-24,2020-05-04,"National","https://www.france24.com/en/20200427-ecuador-to-color-code-regions-ahead-of-lockdown-s-easing",2020-04-27,FALSE
"United States","Oklahoma",2020-04-01,NA,"State","https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html",2020-05-03,FALSE
"Monaco",NA,2020-03-14,2020-05-04,"National","https://lagazettedemonaco.com/en/fin-du-confinement-strict-le-4-mai/",2020-05-03,TRUE
"Mexico","Mexcio",2020-03-21,2020-05-30,"National","https://edition.cnn.com/world/live-news/coronavirus-pandemic-intl-04-16-20/h_41a81e73c98df3aab68394269ea83300",2020-05-03,FALSE
"United States","West Virginia",2020-03-24,2020-05-04,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"Russia","Moscow",2020-03-30,2020-05-11,"City","https://www.ft.com/content/4152c8b6-6e71-4801-928c-9c353cd2b8e8",2020-05-03,FALSE
"Nigeria","Abuja",2020-03-30,2020-05-04,"City","https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may",2020-05-03,FALSE
"United States","Georgia",2020-04-03,2020-04-24,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"Liberia",NA,2020-03-23,2020-05-08,"National","https://www.garda.com/crisis24/news-alerts/336071/liberia-president-extends-lockdown-measures-for-two-weeks-from-april-24-update-6",2020-05-03,FALSE
"Botswana",NA,2020-04-02,2020-05-07,"National","https://www.dispatchlive.co.za/news/africa/2020-04-29-botswana-extends-virus-lockdown/",2020-05-03,TRUE
"Nigeria","Lagos",2020-03-30,2020-05-04,"City","https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may",2020-05-03,FALSE
"Puerto Rico",NA,2020-03-15,2020-05-25,"National","https://abcnews.go.com/Health/wireStory/puerto-rico-partially-reopen-coronavirus-concerns-70444947",2020-05-03,FALSE
"Nigeria","Ogun",2020-03-30,2020-05-04,"City","https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may",2020-05-03,FALSE
"Tunisia",NA,2020-03-22,2020-05-04,"National","https://www.garda.com/crisis24/news-alerts/337711/tunisia-lockdown-measures-to-ease-from-may-4-update-8",2020-05-03,TRUE
"Republic of the Congo","Pupublic of the Congo",2020-03-31,2020-05-16,"City","https://www.africanews.com/2020/05/02/congo-republic-extends-coronavirus-lockdown//",2020-05-03,TRUE
"India",NA,2020-03-25,2020-05-18,"National","https://www.npr.org/sections/coronavirus-live-updates/2020/05/01/849047693/india-extends-nationwide-coronavirus-lockdown-by-2-weeks",2020-05-03,FALSE
"Portugal",NA,2020-03-19,2020-05-04,"National","https://uk.reuters.com/article/uk-health-coronavirus-portugal/portugal-relaxes-coronavirus-lockdown-with-sector-by-sector-plan-idUKKBN22C37I",2020-05-03,TRUE
"Germany",NA,2020-03-17,2020-04-30,"National","https://www.theguardian.com/world/live/2020/apr/30/coronavirus-live-news-more-cases-of-covid-linked-syndrome-in-children-as-uk-deaths-top-spain-and-france",2020-05-03,TRUE
"United States","Kentucky",2020-03-23,2020-05-20,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Texas",2020-04-02,2020-04-30,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Utah",2020-03-26,2020-05-01,"County","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Vermont",2020-03-25,2020-05-01,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"Hungary",NA,2020-03-28,2020-05-04,"National","https://www.kormany.hu/en/the-prime-minister/news/we-won-first-battle-against-virus",2020-05-03,TRUE
"United States","Washington",2020-03-25,NA,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","Wisconsin",2020-03-25,NA,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"Poland",NA,2020-03-13,2020-05-04,"National","https://notesfrompoland.com/2020/04/29/poland-reopens-shopping-centres-preschools-and-cultural-institutions-in-unfreezing-of-lockdown/",2020-05-03,TRUE
"United States","Nevada",2020-03-17,2020-05-15,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","Virginia",2020-03-24,NA,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","Tennessee",2020-04-02,2020-04-29,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Indiana",2020-03-24,2020-05-04,"State","https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html",2020-05-03,TRUE
"United States","Kansas",2020-03-30,2020-05-04,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Louisiana",2020-03-23,2020-05-15,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","Maine",2020-04-02,2020-06-01,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Maryland",2020-03-30,NA,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","Massachusetts",2020-03-24,2020-05-18,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"Rwanda",NA,2020-03-21,2020-05-04,"National","https://www.theeastafrican.co.ke/news/ea/Rwanda-partially-lifts-coronavirus-lockdown/4552908-5539612-yxgy7b/index.html",2020-05-03,TRUE
"United States","Mississippi",2020-04-03,2020-04-27,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Missouri",2020-04-03,2020-05-04,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Montana",2020-03-28,2020-04-27,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","New Hampshire",2020-03-27,2020-05-11,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","New Mexico",2020-03-24,2020-05-15,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","New York",2020-03-22,2020-05-15,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,FALSE
"United States","North Dakota",2020-03-30,2020-05-01,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Ohio",2020-03-23,2020-05-12,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"United States","Rhode Island",2020-03-30,2020-05-09,"State","https://www.wired.com/story/which-states-reopening-lockdown/",2020-05-03,TRUE
"Bolivia",NA,2020-03-22,2020-05-10,"National","https://www.reuters.com/article/us-health-coronavirus-bolivia-idUSKBN22B33D",2020-05-03,FALSE
"Thailand",NA,2020-03-25,2020-05-03,"National","https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-begins-easing-lockdown-measures",2020-05-03,TRUE
